Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2023-06-02T05:01:18.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,405,4.05,0,1,27,
2023-06-02T09:43:29.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,678,4.04,0,0,23,
2023-06-02T12:01:07.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.97,0,0,22,
2023-06-03T00:01:43.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,464,3.966,0,0,23,
2023-06-03T05:58:56.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.962,0,0,20,
2023-06-03T12:01:56.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.955,0,0,18,
2023-06-04T00:02:31.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.919,0,0,19,
2023-06-04T05:59:44.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.912,0,0,20,
2023-06-04T12:03:24.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.892,0,0,20,
2023-06-05T00:04:07.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.874,0,0,20,
2023-06-05T06:01:20.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.869,0,0,20,
2023-06-05T12:04:16.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.862,0,0,20,
2023-06-06T00:05:04.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,259,3.851,0,0,22,
2023-06-06T06:02:17.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.85,0,0,23,
2023-06-06T12:00:02.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.818,0.001,0,22,
2023-06-07T00:00:30.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,27,3.796,0,0,21,
2023-06-07T06:02:43.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.793,0,0,21,
2023-06-07T12:00:28.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.778,0,0,21,
2023-06-08T00:00:36.000Z,44.38913,-68.34649,69,0.1,0,2.48,2.9,3.82,5,68,0,3,75,3.771,0,0,20,
2023-06-08T06:02:00.000Z,44.38888,-68.34667,21,0.11,0,2.27,4.61,5.14,6,41,0,3,0,3.771,0,0,12,
2023-06-08T06:03:28.000Z,44.38902,-68.34674,28,0.02,0,1.81,2.81,3.35,5,9,0,3,0,3.748,0,0,15,
2023-06-08T07:03:53.000Z,44.38857,-68.34647,1,0.65,0,1.9,2.27,2.97,6,22,0,3,0,3.765,0,0,12,
2023-06-08T07:34:24.000Z,44.38925,-68.34677,38,0.49,0,1.53,2.08,2.58,7,29,0,3,0,3.768,0,0,12,
2023-06-08T08:04:42.000Z,44.38874,-68.34677,112,0.15,0,0.93,1.24,1.55,8,16,0,3,0,3.764,0,0,11,
2023-06-08T08:35:20.000Z,44.38895,-68.34657,58,0.07,0,1.69,3.24,3.65,7,36,0,3,0,3.765,0,0,11,
