Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2023-06-02T05:03:11.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,357,4.068,0,0,25,
2023-06-02T09:45:21.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,687,4.062,0,0,21,
2023-06-02T12:02:59.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,4.041,0,0,20,
2023-06-03T00:03:34.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,344,4.044,0,0,20,
2023-06-03T06:00:47.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,4.041,0,0,18,
2023-06-03T11:58:48.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,4.038,0,0,16,
2023-06-03T23:59:16.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,4.039,0,0,16,
2023-06-04T05:58:59.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,4.038,0,0,17,
2023-06-04T06:01:38.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,4.014,0,0,20,
2023-06-04T12:04:32.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,4.031,0,0,17,
2023-06-05T00:05:03.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,4.028,0,0,18,
2023-06-05T06:02:16.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,4.025,0,0,18,
2023-06-05T12:00:06.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,4.017,0,0,18,
2023-06-06T00:00:46.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,224,4.012,0,0,19,
2023-06-06T06:02:59.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,5,4.006,0,0,21,
2023-06-06T12:00:44.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,2,3.961,0.003,0,19,
2023-06-07T00:01:12.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,27,3.913,0,0,19,
2023-06-07T06:03:25.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.908,0,0,19,
2023-06-07T12:01:10.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.874,0.001,0,19,
2023-06-08T00:00:54.000Z,44.38868,-68.34633,24,0.09,0,0.86,1.22,1.46,11,45,0,3,107,3.868,0,0,18,
2023-06-08T06:02:14.000Z,44.38923,-68.34712,66,0.02,0,0.96,1.91,2.21,12,37,0,3,2,3.861,0,0,10,
2023-06-08T06:04:05.000Z,44.38923,-68.34677,61,0.04,0,1.01,1.63,1.91,11,27,0,3,0,3.848,0,0,12,
2023-06-08T06:34:16.000Z,44.38926,-68.34646,59,0.1,0,0.95,1.61,1.91,12,9,0,3,0,3.861,0,0,10,
2023-06-08T06:49:29.000Z,44.38949,-68.34674,-17,0.26,0,1.02,1.58,2,12,12,0,3,0,3.861,0,0,10,
2023-06-08T07:04:39.000Z,44.38918,-68.34633,116,0.07,0,1.49,2.89,3.25,11,9,0,3,0,3.856,0,0,10,
2023-06-08T07:19:54.000Z,44.38894,-68.34631,43,0.22,0,0.94,1.19,1.52,12,14,0,3,0,3.857,0,0,10,
2023-06-08T07:35:08.000Z,44.38887,-68.34645,20,0.13,0,0.86,1.29,1.55,12,13,0,3,0,3.856,0,0,10,
2023-06-08T07:50:28.000Z,44.38835,-68.34669,194,0.06,0,1.09,1.49,1.84,12,19,0,3,0,3.856,0,0,9,
