Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2023-06-02T05:01:26.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,378,4.09,0,0,26,
2023-06-02T09:43:37.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,608,4.088,0,0,21,
2023-06-02T12:01:15.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,1,4.008,0,0,21,
2023-06-03T00:01:51.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,566,4.001,0,0,21,
2023-06-03T05:59:04.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.995,0,0,19,
2023-06-03T12:02:08.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.979,0,0,17,
2023-06-04T00:02:36.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.967,0,0,17,
2023-06-04T05:59:49.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.968,0,0,18,
2023-06-04T12:03:42.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.955,0,0,18,
2023-06-05T00:04:16.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.935,0,0,19,
2023-06-05T06:01:29.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.928,0,0,19,
2023-06-05T12:04:26.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.911,0,0,19,
2023-06-06T00:05:01.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,245,3.897,0.002,0,20,
2023-06-06T06:02:14.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.892,0,0,20,
2023-06-06T11:59:59.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,4,3.848,0.015,0,20,
2023-06-07T00:00:27.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,19,3.82,0.001,0,20,
2023-06-07T06:02:40.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.818,0,0,19,
2023-06-07T12:00:25.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.797,0.006,0,20,
2023-06-08T00:01:03.000Z,44.38926,-68.34629,43,0.08,0,2.92,2.36,3.75,4,97,0,3,147,3.797,0,0,18,
2023-06-08T06:02:36.000Z,44.38908,-68.34695,21,0.05,0,2.75,2.81,3.93,6,51,0,3,0,3.795,0,0,11,
2023-06-08T06:04:06.000Z,44.38924,-68.3467,58,0.19,0,2.79,2.78,3.93,5,9,0,3,0,3.771,0,0,13,
2023-06-08T06:34:25.000Z,44.38911,-68.34711,70,0.54,0,3.28,2.96,4.41,5,17,0,3,0,3.787,0,0,11,
2023-06-08T07:04:53.000Z,44.38938,-68.34656,31,0.39,0,1.49,1.58,2.17,7,26,0,3,0,3.789,0,0,11,
2023-06-08T07:36:10.000Z,44.38861,-68.34697,140,0.15,0,1.83,3.4,3.86,7,75,0,3,0,3.786,0,0,11,
2023-06-08T08:05:47.000Z,44.38942,-68.34692,21,0.15,0,1.61,2.43,2.91,8,35,0,3,0,3.784,0,0,11,
2023-06-08T08:35:39.000Z,44.38906,-68.34656,169,0.09,0,1.77,2.92,3.41,6,20,0,3,0,3.784,0,0,10,
2023-06-08T09:06:10.000Z,44.38902,-68.34644,77,0.4,0,1.28,2.35,2.77,8,29,0,3,0,3.784,0.001,0,10,
2023-06-08T09:36:36.000Z,44.39077,-68.34576,-36,0.17,0,1.45,2.34,2.75,6,24,0,3,0,3.786,0.001,0,10,
2023-06-08T10:07:06.000Z,44.38917,-68.3469,123,0.25,0,2.08,3.75,4.29,5,28,0,3,0,3.785,0.001,0,10,
2023-06-08T10:37:19.000Z,44.38918,-68.34665,82,0.02,0,1.68,2.23,2.8,5,11,0,3,0,3.784,0.003,0,10,
2023-06-08T11:07:37.000Z,44.38936,-68.34691,33,0.06,0,1.33,2.4,2.74,7,16,0,3,0,3.784,0.01,0,10,
2023-06-08T11:37:55.000Z,44.39133,-68.35098,66,3.74,340,1.82,3.07,3.57,6,16,0,3,2,3.781,0.009,0,11,
2023-06-08T12:08:14.000Z,44.39291,-68.21779,135,0.15,0,1.46,2.2,2.64,8,17,0,3,0,3.782,0.015,0,12,
2023-06-08T12:38:35.000Z,44.39321,-68.21879,158,0.08,0,2.06,2.23,3.05,8,19,0,3,0,3.782,0.017,0,13,
2023-06-08T13:09:05.000Z,44.39318,-68.21846,7,0.14,0,1.52,2.21,2.68,8,28,0,3,0,3.784,0.017,0,14,
2023-06-08T13:39:30.000Z,44.39301,-68.21839,11,0.33,0,2.25,1.67,2.8,7,23,0,3,0,3.781,0.028,0,16,
2023-06-08T14:09:55.000Z,44.39255,-68.21815,35,1.47,0,3.98,3.84,5.53,5,23,0,3,0,3.781,0.028,0,18,
2023-06-08T14:40:36.000Z,44.39147,-68.21411,188,0.23,0,1.72,1.87,2.54,7,39,0,3,0,3.781,0.024,0,20,
2023-06-08T15:10:32.000Z,44.39238,-68.21555,282,0.32,0,1.64,2.98,3.4,6,24,0,3,0,3.78,0.031,0,22,
2023-06-08T15:41:24.000Z,44.39019,-68.21136,472,0.11,0,1.32,3.27,3.53,7,50,0,3,2,3.78,0.041,0,25,
2023-06-08T16:10:59.000Z,44.38988,-68.21328,-36,0.09,0,1.41,2.68,3.03,8,18,0,3,0,3.775,0.065,0,28,
2023-06-08T16:41:16.000Z,44.39013,-68.2131,2,0.07,0,1.24,1.37,1.84,9,15,0,3,0,3.774,0.092,0,28,
2023-06-08T17:12:01.000Z,44.39191,-68.21613,67,0.47,0,1.63,2.04,2.48,5,43,0,3,52,3.797,2.215,641,42,
2023-06-08T17:42:28.000Z,44.39271,-68.21815,47,0.21,0,3.57,9.65,10.29,4,55,0,3,0,3.812,2.231,1281,43,
2023-06-08T18:12:18.000Z,44.39274,-68.21806,55,0.36,0,1.24,2.15,2.48,6,18,0,3,0,3.813,2.209,1321,46,
2023-06-08T18:42:41.000Z,44.39292,-68.21809,50,0.32,0,1.82,2.12,2.65,6,21,0,3,0,3.825,2.182,1034,42,
2023-06-08T19:13:19.000Z,44.39285,-68.21822,48,1.25,0,1.36,1.81,2.25,7,36,0,3,0,3.831,2.198,944,42,
2023-06-08T19:43:42.000Z,44.39471,-68.21918,-75,2.07,0,1.45,1.39,2,6,51,0,3,0,3.836,2.061,719,37,
2023-06-08T20:14:43.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,46,3.839,0.034,412,31,
2023-06-08T20:44:45.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,20,3.831,0.019,0,25,
2023-06-08T21:14:47.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.826,0.025,0,23,
2023-06-08T21:44:49.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.824,0.008,0,23,
2023-06-08T22:14:51.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.823,0.003,0,22,
2023-06-08T22:44:53.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,46,3.819,0.001,0,22,
2023-06-08T23:14:55.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.817,0,0,20,
2023-06-08T23:44:57.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,7,3.814,0,0,20,
2023-06-09T00:15:01.000Z,44.39128,-68.21884,74,4.41,211,1.71,2.57,2.99,7,92,0,3,11,3.813,0,0,19,
2023-06-09T00:44:09.000Z,44.29305,-68.28889,47,0.95,224,2.04,4.57,5.5,6,36,0,3,0,3.811,0.002,0,18,
2023-06-09T01:13:56.000Z,44.29295,-68.28863,-12,0.83,265,3.33,2.84,4.38,6,15,0,3,0,3.809,0,0,17,
2023-06-09T01:44:16.000Z,44.29268,-68.28875,21,0.19,0,1.75,2.06,2.71,7,18,0,3,0,3.809,0,0,17,
2023-06-09T02:14:34.000Z,44.29298,-68.28892,49,0.13,0,1.26,1.5,1.84,8,16,0,3,0,3.809,0,0,16,
2023-06-09T02:45:24.000Z,44.29297,-68.28913,-36,0.1,0,0.96,1.61,1.87,8,48,0,3,0,3.808,0,0,15,
2023-06-09T03:15:08.000Z,44.39123,-68.22444,86,0.47,0,0.99,1.82,2.13,9,12,0,3,0,3.808,0,0,16,
2023-06-09T03:45:23.000Z,44.42844,-68.28505,32,0.31,0,1.36,1.53,2.04,8,13,0,3,7,3.807,0.002,0,15,
2023-06-09T04:15:56.000Z,44.4194,-68.25011,-68,38.14,174,0.9,1.07,1.39,12,31,0,3,2,3.807,0,0,14,
2023-06-09T04:46:58.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,21,3.804,0,0,16,
2023-06-09T05:17:00.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,2,3.804,0,0,16,
2023-06-09T05:47:02.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.803,0,0,17,
2023-06-09T06:17:04.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,19,3.801,0,0,17,
2023-06-09T06:47:06.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.8,0,0,18,
2023-06-09T07:17:08.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.798,0,0,19,
2023-06-09T07:47:10.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.797,0,0,19,
2023-06-09T08:17:12.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.793,0,0,18,
2023-06-09T08:47:14.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.791,0,0,19,
2023-06-09T09:17:16.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.791,0,0,18,
2023-06-09T09:47:18.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.791,0,0,19,
2023-06-09T10:17:20.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.786,0,0,18,
2023-06-09T10:47:22.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.785,0,0,18,
2023-06-09T11:17:24.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.782,0,0,18,
2023-06-09T11:47:26.000Z,0,0,0,0,0,99.99,99.99,99.99,0,90,4,1,0,3.78,0,0,18,
