"","year","island","species","count"
"1",2023,"green","gull_sp",57
"2",2023,"green","herg",NA
"3",2023,"green","gbbg",NA
"4",2023,"green","coei",0
"5",2023,"green","dcco",163
"6",2023,"green","cote",0
"7",2023,"green","cago",0
"8",2023,"scrag","gull_sp",50
"9",2023,"scrag","herg",NA
"10",2023,"scrag","gbbg",NA
"11",2023,"scrag","coei",0
"12",2023,"scrag","dcco",0
"13",2023,"scrag","cote",0
"14",2023,"scrag","cago",0
"15",2023,"thrumcap","gull_sp",39
"16",2023,"thrumcap","herg",NA
"17",2023,"thrumcap","gbbg",NA
"18",2023,"thrumcap","coei",6
"19",2023,"thrumcap","dcco",203
"20",2023,"thrumcap","cote",0
"21",2023,"thrumcap","cago",0
"22",2023,"great spoon","gull_sp",83
"23",2023,"great spoon","herg",NA
"24",2023,"great spoon","gbbg",NA
"25",2023,"great spoon","coei",10
"26",2023,"great spoon","dcco",0
"27",2023,"great spoon","cote",0
"28",2023,"great spoon","cago",0
"29",2023,"little spoon","gull_sp",130
"30",2023,"little spoon","herg",NA
"31",2023,"little spoon","gbbg",NA
"32",2023,"little spoon","coei",5
"33",2023,"little spoon","dcco",0
"34",2023,"little spoon","cote",4
"35",2023,"little spoon","cago",0
"36",2023,"shabby","gull_sp",276
"37",2023,"shabby","herg",226
"38",2023,"shabby","gbbg",50
"39",2023,"shabby","coei",62
"40",2023,"shabby","dcco",259
"41",2023,"shabby","cote",0
"42",2023,"shabby","cago",0
"43",2023,"schoodic","gull_sp",604
"44",2023,"schoodic","herg",541
"45",2023,"schoodic","gbbg",63
"46",2023,"schoodic","coei",32
"47",2023,"schoodic","dcco",384
"48",2023,"schoodic","cote",0
"49",2023,"schoodic","cago",1
"50",2023,"little duck","gull_sp",48
"51",2023,"little duck","herg",38
"52",2023,"little duck","gbbg",10
"53",2023,"little duck","coei",58
"54",2023,"little duck","dcco",13
"55",2023,"little duck","cote",0
"56",2023,"little duck","cago",1
"57",2023,"heron","gull_sp",486
"58",2023,"heron","herg",483
"59",2023,"heron","gbbg",3
"60",2023,"heron","coei",3
"61",2023,"heron","dcco",0
"62",2023,"heron","cote",0
"63",2023,"heron","cago",0
"64",2023,"great duck","gull_sp",1367
"65",2023,"great duck","herg",1331
"66",2023,"great duck","gbbg",36
"67",2023,"great duck","coei",24
"68",2023,"great duck","dcco",0
"69",2023,"great duck","cote",0
"70",2023,"great duck","cago",3
"71",2013,"green","gull_sp",16
"72",2013,"green","herg",NA
"73",2013,"green","gbbg",NA
"74",2013,"green","coei",0
"75",2013,"green","dcco",0
"76",2013,"green","cote",NA
"77",2013,"green","cago",NA
"78",2013,"scrag","gull_sp",24
"79",2013,"scrag","herg",NA
"80",2013,"scrag","gbbg",NA
"81",2013,"scrag","coei",3
"82",2013,"scrag","dcco",75
"83",2013,"scrag","cote",NA
"84",2013,"scrag","cago",NA
"85",2013,"thrumcap","gull_sp",105
"86",2013,"thrumcap","herg",NA
